State,Abbreviation,2022 Median Household Income,2022 Median Sale Price,2022 Population,Home Price to Income Ratio,Rank by Income,Rank by Price,Rank by Price/Income Ratio
Alabama,AL,62027,269000,5108468,4.3368210617956695,46.0,33.0,25.0
Alaska,AK,89336,336000,733406,3.76108175875347,12.0,26.0,33.0
Arizona,AZ,76872,410000,7431344,5.3335414715371,20.0,15.0,12.0
Arkansas,AR,58773,231000,3067732,3.930376193149916,48.0,44.0,31.0
California,CA,96334,704000,38965193,7.3079079037515315,5.0,1.0,1.0
Colorado,CO,92470,551000,5877610,5.958689304639343,9.0,4.0,5.0
Connecticut,CT,93760,336000,3617176,3.583617747440273,8.0,26.0,38.0
Delaware,DE,82855,308000,1031890,3.717337517349587,16.0,31.0,34.0
Florida,FL,71711,381000,22610726,5.312992427939926,34.0,16.0,14.0
Georgia,GA,74664,339000,11029227,4.540340726454517,28.0,23.0,21.0
Hawaii,HI,98317,699000,1435138,7.109655502100349,4.0,2.0,2.0
Idaho,ID,74636,452000,1964726,6.056058738410418,29.0,10.0,4.0
Illinois,IL,81702,240000,12549689,2.9375045898509216,17.0,38.0,49.0
Indiana,IN,70051,232000,6862199,3.3118727784043056,36.0,42.0,45.0
Iowa,IA,73147,200000,3207004,2.7342201320628323,30.0,50.0,50.0
Kansas,KS,72639,253000,2940547,3.482977463896805,31.0,37.0,39.0
Kentucky,KY,62417,232000,4526154,3.7169360911290195,44.0,42.0,35.0
Louisiana,LA,60023,240000,4573749,3.998467254219216,47.0,38.0,30.0
Maine,ME,71773,332000,1395722,4.625694899196077,33.0,28.0,20.0
Maryland,MD,101652,374000,6180253,3.6792192972100892,1.0,18.0,36.0
Massachusetts,MA,101341,535000,7001399,5.279205849557435,2.0,5.0,15.0
Michigan,MI,71149,217000,10037261,3.0499374551996516,35.0,48.0,47.0
Minnesota,MN,87556,315000,5737915,3.5976974736168854,13.0,29.0,37.0
Mississippi,MS,54915,239000,2939690,4.352180642811618,50.0,40.0,24.0
Missouri,MO,68920,229000,6196156,3.322692977365061,40.0,45.0,44.0
Montana,MT,69922,496000,1132812,7.093618603586854,37.0,7.0,3.0
Nebraska,NE,74985,260000,1978379,3.4673601386944055,26.0,35.0,40.0
Nevada,NV,75561,414000,3194176,5.479016953190138,25.0,13.0,10.0
New Hampshire,NH,95628,419000,1402054,4.381561885640189,6.0,12.0,23.0
New Jersey,NJ,101050,429000,9290841,4.245423057892133,3.0,11.0,27.0
New Mexico,NM,62125,310000,2114371,4.989939637826962,45.0,30.0,16.0
New York,NY,84578,469000,19571216,5.5451772328501505,15.0,9.0,9.0
North Carolina,NC,69904,345000,10835491,4.935339894712749,38.0,22.0,17.0
North Dakota,ND,75949,235000,783926,3.0941816218778393,23.0,41.0,46.0
Ohio,OH,69680,209000,11785935,2.999425947187141,39.0,49.0,48.0
Oklahoma,OK,63603,219000,4053824,3.4432338097259563,43.0,47.0,42.0
Oregon,OR,80426,474000,4233358,5.893616492179146,18.0,8.0,6.0
Pennsylvania,PA,76081,254000,12961683,3.338547074828144,22.0,36.0,43.0
Rhode Island,RI,86372,412000,1095962,4.770064372713379,14.0,14.0,18.0
South Carolina,SC,66818,358000,5373555,5.357837708401927,42.0,19.0,11.0
South Dakota,SD,72421,292000,919318,4.031979674403833,32.0,32.0,29.0
Tennessee,TN,67097,357000,7126489,5.320655170872021,41.0,20.0,13.0
Texas,TX,76292,339000,30503301,4.443454097415194,21.0,23.0,22.0
Utah,UT,91750,512000,3417734,5.580381471389646,10.0,6.0,8.0
Vermont,VT,78024,338000,647464,4.332000410130217,19.0,25.0,26.0
Virginia,VA,90974,381000,8715698,4.188009761030624,11.0,16.0,28.0
Washington,WA,94952,559000,7812880,5.887185104052574,7.0,3.0,7.0
West Virginia,WV,57917,222000,1770071,3.833071464336896,49.0,46.0,32.0
Wisconsin,WI,75670,261000,5910955,3.449187260473107,24.0,34.0,41.0
Wyoming,WY,74815,350000,584057,4.678206242063757,27.0,21.0,19.0
